Model,GPU,TP,PP,Energy/req (J),Avg TPOT (s),Token tput (tok/s),Avg Output Tokens,Avg BS (reqs),Max BS (reqs)
microsoft/Phi-3-small-8k-instruct,NVIDIA H100 80GB HBM3,1,1,71.49734232702805,0.03731566430308449,1672.7710006791228,413.585,63.86396346526433,64
microsoft/Phi-3-small-8k-instruct,NVIDIA H100 80GB HBM3,1,1,49.25184037787979,0.2187977132222622,2163.0662430641187,409.0135,762.022346368715,768
mistralai/Mistral-7B-Instruct-v0.3,NVIDIA H100 80GB HBM3,1,1,45.31628541581745,0.26908584332122476,2057.107194015642,422.398,1009.2690839694657,1024
mistralai/Mistral-7B-Instruct-v0.3,NVIDIA H100 80GB HBM3,1,1,53.19320314176516,0.05915542486744252,2021.9516359442048,422.1305,127.74232511323603,128
mistralai/Mistral-7B-Instruct-v0.3,NVIDIA H100 80GB HBM3,1,1,42.8955718516529,0.27877390519201783,2189.802009416796,420.915,1230.2291139240506,1280
mistralai/Mistral-7B-Instruct-v0.3,NVIDIA H100 80GB HBM3,1,1,52.52048780437559,0.0843129223959275,1997.444193014657,424.34,191.59110244594115,192
mistralai/Mistral-7B-Instruct-v0.3,NVIDIA H100 80GB HBM3,1,1,50.86929775254927,0.10480599612216364,2041.560352720716,429.295,255.4277652370203,256
mistralai/Mistral-7B-Instruct-v0.3,NVIDIA H100 80GB HBM3,1,1,45.47718749869485,0.10905461070574977,2378.587844154787,425.57,319.1925207756233,320
mistralai/Mistral-7B-Instruct-v0.3,NVIDIA H100 80GB HBM3,1,1,43.75467153994823,0.15524151060082003,2333.0834896991705,423.591,509.89071274298055,512
mistralai/Mistral-7B-Instruct-v0.3,NVIDIA H100 80GB HBM3,1,1,66.94868198958522,0.034933955026261024,1780.407398477601,427.8055,63.86752165446854,64
mistralai/Mistral-7B-Instruct-v0.3,NVIDIA H100 80GB HBM3,1,1,47.86783463337666,0.23380942134639382,2025.9592574317421,425.6305,761.6872069658406,768
